<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19990104000000,0.6123,0.6219,0.6112,0.6217,0.0
19990105000000,0.621,0.6254,0.6205,0.622,0.0
19990106000000,0.6213,0.6302,0.619,0.629,0.0
19990107000000,0.629,0.6376,0.6275,0.6352,0.0
19990108000000,0.6356,0.6359,0.631,0.6349,0.0
19990111000000,0.6341,0.6418,0.632,0.6395,0.0
19990112000000,0.639,0.6442,0.6358,0.6375,0.0
19990113000000,0.6367,0.6377,0.628,0.631,0.0
19990114000000,0.6305,0.6371,0.629,0.6301,0.0
19990115000000,0.629,0.6361,0.6285,0.6332,0.0
19990118000000,0.6349,0.6373,0.6325,0.6338,0.0
19990119000000,0.6338,0.6402,0.632,0.6386,0.0
19990120000000,0.638,0.6415,0.6377,0.6401,0.0
19990121000000,0.6399,0.6462,0.6355,0.6438,0.0
19990122000000,0.6414,0.6421,0.6315,0.6338,0.0
19990125000000,0.633,0.6341,0.6278,0.631,0.0
19990126000000,0.6311,0.6317,0.628,0.6287,0.0
19990127000000,0.6288,0.6324,0.626,0.628,0.0
19990128000000,0.6275,0.6291,0.623,0.6276,0.0
19990129000000,0.627,0.6314,0.6248,0.6305,0.0
19990201000000,0.6316,0.6369,0.63,0.6355,0.0
19990202000000,0.6354,0.6407,0.635,0.6376,0.0
19990203000000,0.637,0.6441,0.6362,0.6411,0.0
19990204000000,0.6411,0.6501,0.637,0.6487,0.0
19990205000000,0.6485,0.6539,0.6473,0.6511,0.0
19990208000000,0.6498,0.6547,0.6486,0.6488,0.0
19990209000000,0.6486,0.6502,0.6474,0.6465,0.0
19990210000000,0.6458,0.6482,0.6428,0.6466,0.0
19990211000000,0.6461,0.6507,0.6442,0.6471,0.0
19990212000000,0.6466,0.648,0.639,0.6468,0.0
19990215000000,0.6475,0.6497,0.6449,0.6462,0.0
19990216000000,0.646,0.6463,0.634,0.6354,0.0
19990217000000,0.634,0.6381,0.631,0.6355,0.0
19990218000000,0.6354,0.6382,0.633,0.6358,0.0
19990219000000,0.6355,0.6416,0.634,0.6395,0.0
19990222000000,0.6413,0.6417,0.635,0.6406,0.0
19990223000000,0.641,0.6418,0.636,0.6408,0.0
19990224000000,0.6402,0.6408,0.6293,0.6329,0.0
19990225000000,0.6322,0.6336,0.623,0.6258,0.0
19990226000000,0.6253,0.6255,0.6165,0.6188,0.0
19990301000000,0.6191,0.6219,0.616,0.6191,0.0
19990302000000,0.619,0.624,0.6185,0.6213,0.0
19990303000000,0.6212,0.6267,0.6205,0.6216,0.0
19990304000000,0.621,0.6272,0.6185,0.6262,0.0
19990305000000,0.6272,0.6293,0.624,0.628,0.0
19990308000000,0.6282,0.6322,0.6262,0.632,0.0
19990309000000,0.6315,0.6372,0.63,0.6351,0.0
19990310000000,0.6346,0.6385,0.632,0.637,0.0
19990311000000,0.6374,0.6395,0.632,0.6384,0.0
19990312000000,0.637,0.6382,0.632,0.636,0.0
19990315000000,0.6353,0.6355,0.6275,0.629,0.0
19990316000000,0.6291,0.6295,0.623,0.626,0.0
