<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120202000000,6.1,6.1,6.1,6.1,0.0
20120203000000,5.96,5.96,5.96,5.96,0.0
20120204000000,5.87,5.87,5.87,5.87,0.0
20120205000000,5.69,5.69,5.69,5.69,0.0
20120206000000,5.45,5.45,5.45,5.45,0.0
20120207000000,5.69,5.69,5.69,5.69,0.0
20120208000000,5.6,5.6,5.6,5.6,0.0
20120209000000,5.83,5.83,5.83,5.83,0.0
20120210000000,5.91,5.91,5.91,5.91,0.0
20120211000000,5.6,5.6,5.6,5.6,0.0
20120212000000,5.51,5.51,5.51,5.51,0.0
20120213000000,5.26,5.26,5.26,5.26,0.0
20120214000000,4.46,4.46,4.46,4.46,0.0
20120215000000,4.33,4.33,4.33,4.33,0.0
20120216000000,4.27,4.27,4.27,4.27,0.0
20120217000000,4.41,4.41,4.41,4.41,0.0
20120218000000,4.22,4.22,4.22,4.22,0.0
20120219000000,4.39,4.39,4.39,4.39,0.0
20120220000000,4.36,4.36,4.36,4.36,0.0
20120221000000,4.27,4.27,4.27,4.27,0.0
20120222000000,4.42,4.42,4.42,4.42,0.0
20120223000000,5.01,5.01,5.01,5.01,0.0
20120224000000,5.03,5.03,5.03,5.03,0.0
20120225000000,4.77,4.77,4.77,4.77,0.0
20120226000000,4.92,4.92,4.92,4.92,0.0
20120227000000,4.96,4.96,4.96,4.96,0.0
20120228000000,4.87,4.87,4.87,4.87,0.0
20120229000000,4.86,4.86,4.86,4.86,0.0
20120301000000,4.92,4.92,4.92,4.92,0.0
20120302000000,4.7,4.7,4.7,4.7,0.0
20120303000000,4.61,4.61,4.61,4.61,0.0
20120304000000,4.82,4.82,4.82,4.82,0.0
20120305000000,4.98,4.98,4.98,4.98,0.0
20120306000000,4.99,4.99,4.99,4.99,0.0
20120307000000,4.94,4.94,4.94,4.94,0.0
20120308000000,4.93,4.93,4.93,4.93,0.0
20120309000000,4.86,4.86,4.86,4.86,0.0
20120310000000,4.83,4.83,4.83,4.83,0.0
20120311000000,4.91,4.91,4.91,4.91,0.0
20120312000000,4.89,4.89,4.89,4.89,0.0
20120313000000,5.27,5.27,5.27,5.27,0.0
20120314000000,5.38,5.38,5.38,5.38,0.0
20120315000000,5.33,5.33,5.33,5.33,0.0
20120316000000,5.34,5.34,5.34,5.34,0.0
20120317000000,5.22,5.22,5.22,5.22,0.0
20120318000000,5.28,5.28,5.28,5.28,0.0
20120319000000,4.69,4.69,4.69,4.69,0.0
20120320000000,4.84,4.84,4.84,4.84,0.0
20120321000000,4.81,4.81,4.81,4.81,0.0
20120322000000,4.7,4.7,4.7,4.7,0.0
20120323000000,4.69,4.69,4.69,4.69,0.0
20120324000000,4.68,4.68,4.68,4.68,0.0
20120325000000,4.55,4.55,4.55,4.55,0.0
20120326000000,4.62,4.62,4.62,4.62,0.0
20120327000000,4.81,4.81,4.81,4.81,0.0
20120328000000,4.79,4.79,4.79,4.79,0.0
20120329000000,4.81,4.81,4.81,4.81,0.0
20120330000000,4.86,4.86,4.86,4.86,0.0
20120331000000,4.91,4.91,4.91,4.91,0.0
20120401000000,4.83,4.83,4.83,4.83,0.0
20120402000000,4.97,4.97,4.97,4.97,0.0
20120403000000,4.95,4.95,4.95,4.95,0.0
20120404000000,4.91,4.91,4.91,4.91,0.0
20120405000000,4.92,4.92,4.92,4.92,0.0
20120406000000,4.95,4.95,4.95,4.95,0.0
20120407000000,4.69,4.69,4.69,4.69,0.0
20120408000000,4.79,4.79,4.79,4.79,0.0
20120409000000,4.87,4.87,4.87,4.87,0.0
20120410000000,4.84,4.84,4.84,4.84,0.0
20120411000000,4.93,4.93,4.93,4.93,0.0
20120412000000,4.92,4.92,4.92,4.92,0.0
20120413000000,4.94,4.94,4.94,4.94,0.0
20120414000000,4.96,4.96,4.96,4.96,0.0
20120415000000,4.97,4.97,4.97,4.97,0.0
20120416000000,4.93,4.93,4.93,4.93,0.0
20120417000000,4.98,4.98,4.98,4.98,0.0
20120418000000,5.12,5.12,5.12,5.12,0.0
20120419000000,5.14,5.14,5.14,5.14,0.0
20120420000000,5.35,5.35,5.35,5.35,0.0
20120421000000,5.26,5.26,5.26,5.26,0.0
20120422000000,5.2,5.2,5.2,5.2,0.0
20120423000000,4.96,4.96,4.96,4.96,0.0
20120424000000,5.1,5.1,5.1,5.1,0.0
20120425000000,5.13,5.13,5.13,5.13,0.0
20120426000000,5.1,5.1,5.1,5.1,0.0
20120427000000,5.11,5.11,5.11,5.11,0.0
20120428000000,4.98,4.98,4.98,4.98,0.0
20120429000000,4.9,4.9,4.9,4.9,0.0
20120430000000,4.95,4.95,4.95,4.95,0.0
20120501000000,5.0,5.0,5.0,5.0,0.0
20120502000000,5.07,5.07,5.07,5.07,0.0
20120503000000,5.13,5.13,5.13,5.13,0.0
20120504000000,5.07,5.07,5.07,5.07,0.0
20120505000000,5.08,5.08,5.08,5.08,0.0
20120506000000,5.05,5.05,5.05,5.05,0.0
20120507000000,5.06,5.06,5.06,5.06,0.0
20120508000000,5.05,5.05,5.05,5.05,0.0
20120509000000,5.04,5.04,5.04,5.04,0.0
20120510000000,4.85,4.85,4.85,4.85,0.0
20120511000000,4.96,4.96,4.96,4.96,0.0
20120512000000,4.95,4.95,4.95,4.95,0.0
20120513000000,4.93,4.93,4.93,4.93,0.0
20120514000000,5.01,5.01,5.01,5.01,0.0
20120515000000,5.03,5.03,5.03,5.03,0.0
20120516000000,5.09,5.09,5.09,5.09,0.0
20120517000000,5.1,5.1,5.1,5.1,0.0
20120518000000,5.12,5.12,5.12,5.12,0.0
20120519000000,5.1,5.1,5.1,5.1,0.0
20120520000000,5.09,5.09,5.09,5.09,0.0
20120521000000,5.1,5.1,5.1,5.1,0.0
20120522000000,5.1,5.1,5.1,5.1,0.0
20120523000000,5.14,5.14,5.14,5.14,0.0
20120524000000,5.12,5.12,5.12,5.12,0.0
20120525000000,5.15,5.15,5.15,5.15,0.0
20120526000000,5.1,5.1,5.1,5.1,0.0
20120527000000,5.14,5.14,5.14,5.14,0.0
20120528000000,5.14,5.14,5.14,5.14,0.0
20120529000000,5.15,5.15,5.15,5.15,0.0
20120530000000,5.13,5.13,5.13,5.13,0.0
20120531000000,5.18,5.18,5.18,5.18,0.0
20120601000000,5.27,5.27,5.27,5.27,0.0
20120602000000,5.25,5.25,5.25,5.25,0.0
20120603000000,5.21,5.21,5.21,5.21,0.0
20120604000000,5.27,5.27,5.27,5.27,0.0
20120605000000,5.44,5.44,5.44,5.44,0.0
20120606000000,5.46,5.46,5.46,5.46,0.0
20120607000000,5.59,5.59,5.59,5.59,0.0
20120608000000,5.63,5.63,5.63,5.63,0.0
20120609000000,5.56,5.56,5.56,5.56,0.0
20120610000000,5.47,5.47,5.47,5.47,0.0
20120611000000,5.57,5.57,5.57,5.57,0.0
20120612000000,5.7,5.7,5.7,5.7,0.0
