<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19990104000000,1.1742,1.1909,1.1698,1.1827,0.0
19990105000000,1.1833,1.1869,1.1725,1.1764,0.0
19990106000000,1.1764,1.1816,1.1553,1.1618,0.0
19990107000000,1.1627,1.177,1.1608,1.1709,0.0
19990108000000,1.1716,1.1738,1.1537,1.1575,0.0
19990111000000,1.1568,1.161,1.1488,1.1502,0.0
19990112000000,1.1504,1.1576,1.1443,1.1572,0.0
19990113000000,1.1573,1.1793,1.1551,1.1673,0.0
19990114000000,1.1671,1.173,1.1612,1.1698,0.0
19990115000000,1.1684,1.1751,1.1553,1.1557,0.0
19990118000000,1.1568,1.162,1.1557,1.1618,0.0
19990119000000,1.1608,1.1643,1.1562,1.1608,0.0
19990120000000,1.1614,1.1614,1.1537,1.1562,0.0
19990121000000,1.1563,1.1622,1.1545,1.16,0.0
19990122000000,1.1602,1.1629,1.1559,1.159,0.0
19990125000000,1.1585,1.1615,1.155,1.1553,0.0
19990126000000,1.1558,1.1597,1.1553,1.1563,0.0
19990127000000,1.1566,1.1568,1.141,1.1443,0.0
19990128000000,1.1442,1.1471,1.1377,1.142,0.0
19990129000000,1.142,1.1433,1.1338,1.1366,0.0
19990201000000,1.1389,1.1397,1.1281,1.1303,0.0
19990202000000,1.1307,1.1366,1.1282,1.1351,0.0
19990203000000,1.1347,1.1362,1.1292,1.1305,0.0
19990204000000,1.1309,1.1349,1.1246,1.1336,0.0
19990205000000,1.1341,1.1374,1.125,1.1267,0.0
19990208000000,1.1265,1.133,1.1216,1.1324,0.0
19990209000000,1.1322,1.1346,1.1277,1.1306,0.0
19990210000000,1.1316,1.1366,1.127,1.133,0.0
19990211000000,1.1322,1.1338,1.1211,1.1211,0.0
19990212000000,1.123,1.1308,1.1213,1.1306,0.0
19990215000000,1.1298,1.1304,1.1219,1.1224,0.0
19990216000000,1.1225,1.1239,1.1157,1.1202,0.0
19990217000000,1.1206,1.1269,1.1195,1.1246,0.0
19990218000000,1.1238,1.128,1.1183,1.12,0.0
19990219000000,1.1199,1.1213,1.1053,1.1077,0.0
19990222000000,1.1073,1.1077,1.0966,1.1035,0.0
19990223000000,1.1025,1.1082,1.0938,1.1008,0.0
19990224000000,1.1008,1.1048,1.0924,1.1,0.0
19990225000000,1.1002,1.1079,1.0977,1.1042,0.0
19990226000000,1.1035,1.1046,1.095,1.1025,0.0
19990301000000,1.0987,1.1027,1.0885,1.089,0.0
19990302000000,1.0894,1.0938,1.0854,1.0934,0.0
19990303000000,1.0945,1.0949,1.0873,1.0882,0.0
19990304000000,1.0877,1.088,1.0787,1.0808,0.0
19990305000000,1.0802,1.0867,1.0781,1.0833,0.0
19990308000000,1.0824,1.0929,1.0803,1.0885,0.0
19990309000000,1.0886,1.092,1.0856,1.0886,0.0
19990310000000,1.0888,1.0978,1.0877,1.0945,0.0
19990311000000,1.0941,1.1061,1.0796,1.1031,0.0
19990312000000,1.1049,1.105,1.0893,1.0912,0.0
19990315000000,1.0894,1.096,1.0882,1.0943,0.0
19990316000000,1.0925,1.1008,1.0815,1.099,0.0
19990317000000,1.0997,1.1046,1.0936,1.1002,0.0
19990318000000,1.0989,1.107,1.0955,1.0978,0.0
19990319000000,1.0978,1.1003,1.0876,1.0899,0.0
19990322000000,1.0915,1.0924,1.085,1.0913,0.0
19990323000000,1.0913,1.0931,1.0854,1.0915,0.0
19990324000000,1.0903,1.0965,1.088,1.0885,0.0
19990325000000,1.0875,1.0913,1.0828,1.0835,0.0
19990326000000,1.084,1.0869,1.0713,1.077,0.0
19990329000000,1.0747,1.0793,1.0683,1.0735,0.0
19990330000000,1.0731,1.0782,1.0698,1.0723,0.0
19990331000000,1.072,1.0825,1.0694,1.077,0.0
19990401000000,1.0776,1.0824,1.0725,1.0798,0.0
19990402000000,1.0787,1.0808,1.0762,1.0795,0.0
19990405000000,1.0788,1.0794,1.0701,1.0716,0.0
19990406000000,1.0713,1.0857,1.0703,1.0836,0.0
19990407000000,1.084,1.085,1.0757,1.077,0.0
19990408000000,1.0766,1.0886,1.0722,1.076,0.0
19990409000000,1.0736,1.0814,1.0726,1.0804,0.0
19990412000000,1.0818,1.088,1.0802,1.0808,0.0
19990413000000,1.0808,1.0833,1.0743,1.0783,0.0
19990414000000,1.0772,1.0819,1.0762,1.0802,0.0
19990415000000,1.081,1.0814,1.0688,1.0703,0.0
19990416000000,1.0696,1.072,1.0627,1.0711,0.0
19990419000000,1.0675,1.0703,1.0587,1.0667,0.0
19990420000000,1.0663,1.0686,1.0608,1.0627,0.0
19990421000000,1.062,1.0634,1.0571,1.0588,0.0
19990422000000,1.0587,1.0663,1.056,1.065,0.0
19990423000000,1.0649,1.0688,1.0598,1.0605,0.0
19990426000000,1.061,1.0631,1.0577,1.0593,0.0
19990427000000,1.0587,1.0669,1.0583,1.0665,0.0
19990428000000,1.0657,1.0699,1.0604,1.0627,0.0
19990429000000,1.0628,1.0639,1.0573,1.0613,0.0
19990430000000,1.062,1.0638,1.0542,1.057,0.0
19990503000000,1.0587,1.0603,1.0548,1.0564,0.0
19990504000000,1.0565,1.0637,1.0558,1.0633,0.0
19990505000000,1.0631,1.0774,1.0623,1.0762,0.0
19990506000000,1.0753,1.0827,1.0734,1.0784,0.0
19990507000000,1.0797,1.0817,1.0743,1.0756,0.0
19990510000000,1.0726,1.0842,1.0704,1.0782,0.0
19990511000000,1.0786,1.0806,1.0701,1.0707,0.0
19990512000000,1.0716,1.0738,1.0639,1.065,0.0
19990513000000,1.0642,1.0676,1.0599,1.0654,0.0
19990514000000,1.0666,1.0745,1.0634,1.0657,0.0
19990517000000,1.0677,1.0692,1.0642,1.0665,0.0
19990518000000,1.0665,1.0711,1.0652,1.068,0.0
19990519000000,1.068,1.069,1.0619,1.0663,0.0
19990520000000,1.0667,1.0707,1.0612,1.0623,0.0
19990521000000,1.0614,1.0619,1.0545,1.0591,0.0
19990524000000,1.0564,1.0611,1.0552,1.0605,0.0
19990525000000,1.0603,1.0646,1.056,1.0617,0.0
19990526000000,1.062,1.063,1.044,1.044,0.0
19990527000000,1.0452,1.0493,1.041,1.0431,0.0
19990528000000,1.0423,1.0509,1.0391,1.0429,0.0
19990531000000,1.0457,1.049,1.041,1.0423,0.0
19990601000000,1.043,1.0476,1.0418,1.0454,0.0
19990602000000,1.045,1.0463,1.0324,1.036,0.0
19990603000000,1.0358,1.0421,1.0301,1.0324,0.0
19990604000000,1.0317,1.038,1.0268,1.0376,0.0
19990607000000,1.036,1.0368,1.0257,1.0303,0.0
19990608000000,1.0292,1.0473,1.0265,1.0465,0.0
19990609000000,1.0465,1.0492,1.0426,1.047,0.0
19990610000000,1.0471,1.0526,1.0433,1.0482,0.0
19990611000000,1.0482,1.056,1.0465,1.0516,0.0
19990614000000,1.0513,1.0518,1.0406,1.0423,0.0
19990615000000,1.0421,1.0442,1.0379,1.0425,0.0
19990616000000,1.0427,1.044,1.0288,1.0309,0.0
19990617000000,1.0305,1.036,1.029,1.0347,0.0
19990618000000,1.0345,1.0427,1.0295,1.0395,0.0
19990621000000,1.039,1.0424,1.0309,1.0351,0.0
19990622000000,1.0345,1.0361,1.0295,1.0328,0.0
19990623000000,1.0328,1.0351,1.0271,1.0337,0.0
19990624000000,1.0335,1.0417,1.0303,1.0402,0.0
19990625000000,1.0404,1.0482,1.0404,1.0429,0.0
