<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19990104000000,1.658,1.6721,1.6538,1.6585,0.0
19990105000000,1.6579,1.6603,1.6526,1.6542,0.0
19990106000000,1.6543,1.6654,1.6494,1.6549,0.0
19990107000000,1.6555,1.6587,1.6458,1.652,0.0
19990108000000,1.6507,1.6525,1.636,1.6423,0.0
19990111000000,1.6397,1.645,1.6285,1.6297,0.0
19990112000000,1.629,1.6335,1.6228,1.632,0.0
19990113000000,1.6325,1.6595,1.632,1.649,0.0
19990114000000,1.6495,1.6588,1.6436,1.6561,0.0
19990115000000,1.6558,1.6648,1.648,1.6503,0.0
19990118000000,1.6491,1.6567,1.6485,1.6525,0.0
19990119000000,1.652,1.6625,1.6475,1.6575,0.0
19990120000000,1.656,1.657,1.644,1.6457,0.0
19990121000000,1.6455,1.6555,1.6413,1.6522,0.0
19990122000000,1.652,1.6575,1.649,1.6563,0.0
19990125000000,1.6545,1.6613,1.654,1.6577,0.0
19990126000000,1.6583,1.663,1.6558,1.6595,0.0
19990127000000,1.6589,1.6595,1.6435,1.6467,0.0
19990128000000,1.6475,1.651,1.644,1.6495,0.0
19990129000000,1.6485,1.6492,1.6415,1.6458,0.0
19990201000000,1.6473,1.6479,1.6378,1.6416,0.0
19990202000000,1.6426,1.6484,1.638,1.6395,0.0
19990203000000,1.6377,1.6408,1.6328,1.6351,0.0
19990204000000,1.636,1.6458,1.6295,1.645,0.0
19990205000000,1.6435,1.646,1.631,1.6325,0.0
19990208000000,1.631,1.6404,1.6283,1.6395,0.0
19990209000000,1.6388,1.6435,1.6331,1.6378,0.0
19990210000000,1.6367,1.6383,1.625,1.6267,0.0
19990211000000,1.624,1.629,1.6186,1.622,0.0
19990212000000,1.622,1.6345,1.621,1.634,0.0
19990215000000,1.633,1.6368,1.6254,1.6267,0.0
19990216000000,1.6323,1.6354,1.6231,1.6337,0.0
19990217000000,1.634,1.6395,1.6314,1.6345,0.0
19990218000000,1.6343,1.6388,1.632,1.6355,0.0
19990219000000,1.6345,1.6361,1.6199,1.6223,0.0
19990222000000,1.623,1.628,1.6168,1.627,0.0
19990223000000,1.6255,1.6274,1.6095,1.6153,0.0
19990224000000,1.6142,1.6162,1.5949,1.5973,0.0
19990225000000,1.597,1.6075,1.5969,1.6033,0.0
19990226000000,1.6012,1.6064,1.5968,1.603,0.0
19990301000000,1.5977,1.612,1.5949,1.6073,0.0
19990302000000,1.6081,1.6173,1.6042,1.6159,0.0
19990303000000,1.616,1.6227,1.6112,1.6147,0.0
19990304000000,1.613,1.6138,1.6049,1.6105,0.0
19990305000000,1.6093,1.6111,1.6045,1.6067,0.0
19990308000000,1.6014,1.6119,1.6005,1.6087,0.0
19990309000000,1.6095,1.6197,1.606,1.6187,0.0
19990310000000,1.6176,1.6292,1.6146,1.6265,0.0
19990311000000,1.626,1.6414,1.6209,1.6366,0.0
19990312000000,1.6364,1.6385,1.628,1.6315,0.0
19990315000000,1.63,1.6311,1.6184,1.6228,0.0
19990316000000,1.6209,1.6302,1.6172,1.6285,0.0
19990317000000,1.6285,1.6327,1.6237,1.63,0.0
19990318000000,1.63,1.6359,1.6257,1.6293,0.0
19990319000000,1.6285,1.631,1.6255,1.6283,0.0
19990322000000,1.628,1.6294,1.6244,1.6284,0.0
19990323000000,1.6278,1.6389,1.6213,1.6383,0.0
19990324000000,1.638,1.6479,1.633,1.6343,0.0
19990325000000,1.6342,1.6391,1.6215,1.6235,0.0
19990326000000,1.6233,1.627,1.617,1.6237,0.0
19990329000000,1.622,1.6242,1.6124,1.6155,0.0
19990330000000,1.615,1.6187,1.6108,1.6122,0.0
19990331000000,1.6114,1.6162,1.6068,1.6107,0.0
19990401000000,1.6112,1.614,1.6008,1.6023,0.0
19990402000000,1.602,1.6055,1.6018,1.6035,0.0
19990405000000,1.6035,1.6074,1.598,1.6001,0.0
19990406000000,1.6003,1.6037,1.5838,1.5913,0.0
19990407000000,1.59,1.5992,1.587,1.5967,0.0
19990408000000,1.5954,1.612,1.595,1.6062,0.0
19990409000000,1.6053,1.61,1.6004,1.6075,0.0
19990412000000,1.608,1.619,1.608,1.612,0.0
19990413000000,1.612,1.6173,1.6115,1.6165,0.0
19990414000000,1.6161,1.621,1.6108,1.6118,0.0
19990415000000,1.611,1.6162,1.6075,1.6092,0.0
19990416000000,1.6088,1.616,1.6029,1.6132,0.0
19990419000000,1.6115,1.6239,1.6053,1.6115,0.0
19990420000000,1.6115,1.62,1.6085,1.6093,0.0
19990421000000,1.6093,1.6137,1.6038,1.6056,0.0
19990422000000,1.6056,1.6168,1.604,1.6168,0.0
19990423000000,1.6155,1.6205,1.6122,1.6155,0.0
19990426000000,1.6135,1.6214,1.6103,1.612,0.0
19990427000000,1.6115,1.6195,1.6085,1.6172,0.0
19990428000000,1.6166,1.6227,1.6127,1.6133,0.0
19990429000000,1.6135,1.6176,1.6068,1.6092,0.0
19990430000000,1.609,1.614,1.6055,1.6095,0.0
19990503000000,1.6088,1.6126,1.6065,1.6094,0.0
19990504000000,1.6083,1.6294,1.6079,1.6287,0.0
19990505000000,1.6274,1.6393,1.6255,1.6364,0.0
19990506000000,1.636,1.6437,1.632,1.6397,0.0
19990507000000,1.6387,1.6397,1.629,1.6295,0.0
19990510000000,1.629,1.6345,1.623,1.6254,0.0
19990511000000,1.6255,1.6284,1.619,1.6231,0.0
19990512000000,1.6226,1.6233,1.6153,1.6173,0.0
19990513000000,1.6175,1.6221,1.6169,1.6204,0.0
19990514000000,1.6215,1.6247,1.6132,1.619,0.0
19990517000000,1.6215,1.622,1.6143,1.6175,0.0
19990518000000,1.6172,1.6258,1.6165,1.6206,0.0
19990519000000,1.6203,1.6227,1.6154,1.6168,0.0
19990520000000,1.6175,1.6226,1.606,1.6065,0.0
19990521000000,1.6065,1.6092,1.5998,1.6006,0.0
19990524000000,1.6,1.604,1.5926,1.599,0.0
19990525000000,1.5975,1.606,1.5955,1.6048,0.0
19990526000000,1.6045,1.6053,1.5936,1.5938,0.0
19990527000000,1.5935,1.6023,1.5875,1.598,0.0
19990528000000,1.5968,1.6044,1.5952,1.6014,0.0
19990531000000,1.6023,1.6057,1.6002,1.603,0.0
19990601000000,1.6015,1.6131,1.5985,1.6122,0.0
19990602000000,1.6105,1.6142,1.6025,1.6047,0.0
19990603000000,1.6033,1.6095,1.6022,1.6053,0.0
19990604000000,1.6038,1.612,1.6017,1.6103,0.0
19990607000000,1.6098,1.6115,1.5977,1.5995,0.0
19990608000000,1.5995,1.6073,1.5983,1.6063,0.0
19990609000000,1.6058,1.6071,1.5979,1.6021,0.0
19990610000000,1.602,1.6056,1.5968,1.6052,0.0
19990611000000,1.6037,1.6178,1.603,1.617,0.0
19990614000000,1.6149,1.6164,1.605,1.6063,0.0
19990615000000,1.6058,1.6092,1.59,1.5943,0.0
19990616000000,1.5934,1.5955,1.5854,1.5883,0.0
19990617000000,1.588,1.5966,1.5853,1.5939,0.0
19990618000000,1.5925,1.6004,1.5898,1.5968,0.0
19990621000000,1.594,1.5962,1.5845,1.5912,0.0
19990622000000,1.5903,1.594,1.585,1.591,0.0
19990623000000,1.5908,1.592,1.5755,1.5808,0.0
19990624000000,1.5803,1.5903,1.5736,1.5877,0.0
19990625000000,1.5865,1.5941,1.585,1.5875,0.0
19990628000000,1.5834,1.5873,1.5794,1.5823,0.0
19990629000000,1.5817,1.5838,1.572,1.5726,0.0
19990630000000,1.5725,1.5787,1.5719,1.5775,0.0
19990701000000,1.578,1.5825,1.5717,1.5722,0.0
19990702000000,1.573,1.58,1.569,1.5787,0.0
19990705000000,1.577,1.5787,1.5735,1.5745,0.0
19990706000000,1.5743,1.5762,1.5585,1.5619,0.0
19990707000000,1.5623,1.564,1.555,1.56,0.0
19990708000000,1.557,1.5613,1.5526,1.5582,0.0
19990709000000,1.5577,1.5615,1.547,1.5487,0.0
19990712000000,1.5495,1.5585,1.548,1.5574,0.0
19990713000000,1.5571,1.5595,1.5531,1.5579,0.0
19990714000000,1.5572,1.5652,1.5505,1.5642,0.0
19990715000000,1.5637,1.5708,1.5621,1.5655,0.0
19990716000000,1.5648,1.5703,1.561,1.5625,0.0
19990719000000,1.5627,1.583,1.5568,1.5811,0.0
