<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19990104000000,0.5268,0.5396,0.5258,0.5396,0.0
19990105000000,0.5385,0.54,0.5328,0.5374,0.0
19990106000000,0.5372,0.5395,0.5341,0.5378,0.0
19990107000000,0.538,0.544,0.5369,0.5412,0.0
19990108000000,0.5417,0.5431,0.5384,0.5414,0.0
19990111000000,0.5405,0.5493,0.538,0.5467,0.0
19990112000000,0.5468,0.5491,0.5424,0.5446,0.0
19990113000000,0.5441,0.5455,0.5379,0.5393,0.0
19990114000000,0.5385,0.5415,0.5367,0.5388,0.0
19990115000000,0.5384,0.5439,0.5366,0.5401,0.0
19990118000000,0.5379,0.5407,0.5346,0.5373,0.0
19990119000000,0.537,0.5394,0.5334,0.537,0.0
19990120000000,0.5365,0.5421,0.5355,0.5401,0.0
19990121000000,0.5405,0.5446,0.5366,0.5432,0.0
19990122000000,0.5428,0.5432,0.5345,0.5366,0.0
19990125000000,0.5361,0.5373,0.5326,0.5343,0.0
19990126000000,0.5342,0.5373,0.532,0.5367,0.0
19990127000000,0.5365,0.5388,0.5336,0.5356,0.0
19990128000000,0.535,0.5373,0.5324,0.5366,0.0
19990129000000,0.536,0.5404,0.5338,0.5395,0.0
19990201000000,0.5415,0.5444,0.5379,0.5423,0.0
19990202000000,0.5424,0.5469,0.5417,0.5447,0.0
19990203000000,0.5441,0.5521,0.5438,0.5504,0.0
19990204000000,0.5511,0.5537,0.5466,0.5519,0.0
19990205000000,0.5512,0.5537,0.547,0.5493,0.0
19990208000000,0.5484,0.5607,0.5483,0.5561,0.0
19990209000000,0.5562,0.557,0.5525,0.5544,0.0
19990210000000,0.5525,0.5542,0.55,0.5525,0.0
19990211000000,0.5521,0.554,0.5494,0.5514,0.0
19990212000000,0.551,0.5531,0.5445,0.5487,0.0
19990215000000,0.549,0.5494,0.5458,0.5464,0.0
19990216000000,0.5458,0.5461,0.5363,0.5377,0.0
19990217000000,0.5368,0.5404,0.5362,0.5393,0.0
19990218000000,0.539,0.541,0.5375,0.5397,0.0
19990219000000,0.5396,0.5441,0.539,0.5433,0.0
19990222000000,0.5433,0.5436,0.5375,0.54,0.0
19990223000000,0.5407,0.5413,0.5368,0.5394,0.0
19990224000000,0.539,0.54,0.5298,0.532,0.0
19990225000000,0.5325,0.5329,0.5229,0.5266,0.0
19990226000000,0.5267,0.5275,0.5216,0.5226,0.0
19990301000000,0.522,0.5268,0.52,0.526,0.0
